country,year,"Inflation, consumer prices (annual %)","Inflation, GDP deflator (annual %)",Real interest rate (%),Deposit interest rate (%),Lending interest rate (%),"Unemployment, total (% of total labor force) (national estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
United Kingdom,1994,2.21901260504202,1.39362357967943,4.01323042810102,3.65666666666667,5.46278333333333,9.64999961853027,9.64999961853027
United Kingdom,1995,2.69749518304432,11.6700094542817,-4.4562855135416,4.10916666666667,6.693675,8.6899995803833,8.6899995803833
United Kingdom,1996,2.85178236397748,4.26134610692728,1.62782017476109,3.045,5.95853333333333,8.1899995803833,8.1899995803833
United Kingdom,1997,2.20114313510882,-0.349045437466671,6.93665752406712,3.63166666666667,6.5634,7.07000017166138,7.07000017166138
United Kingdom,1998,1.82056163731558,1.59660648076544,5.54688164737222,4.48333333333333,7.23205,6.19999980926514,6.19999980926514
United Kingdom,1999,1.7529508005142,1.34230672494529,3.94909267187909,,5.34440833333333,6.03999996185303,6.03999996185303
United Kingdom,2000,1.18295624210404,1.69083726232446,4.20200533241684,,5.96389166666667,5.55999994277954,5.55999994277954
United Kingdom,2001,1.53234960272418,1.85101763216447,3.21190445013526,,5.122375,4.69999980926514,4.69999980926514
United Kingdom,2002,1.52040245947458,2.06344099575955,1.8974071277108,,4.0,5.03999996185303,5.03999996185303
United Kingdom,2003,1.3765003854201,2.73712314364111,0.933127669620646,,3.69579166666667,4.80999994277954,4.80999994277954
United Kingdom,2004,1.39039756680426,2.57005899447064,1.76441126186111,,4.37981666666667,4.59000015258789,4.59000015258789
United Kingdom,2005,2.08913649025072,3.13589713358328,1.46678111933941,,4.648675,4.75,4.75
United Kingdom,2006,2.45566166439288,2.84835797682179,1.74032954120173,,4.63825833333333,5.34999990463257,5.34999990463257
United Kingdom,2007,2.38656150773328,2.79651575648585,2.63840905198808,,5.50870833333333,5.26000022888184,5.26000022888184
United Kingdom,2008,3.52140856342537,3.2285597654007,1.40150029334957,,4.67530833333333,5.61999988555908,5.61999988555908
United Kingdom,2009,1.96173173560107,1.7162190592525,-1.05327587133547,,0.644866666666667,7.53999996185303,7.53999996185303
United Kingdom,2010,2.49265472467065,1.37620731822221,-0.864312585172748,,0.5,7.78999996185303,7.78999996185303
